,Ano_sem,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual
3156,2016_13,51809.0,124389.0,34.299999781428575
3160,2016_14,51809.0,124808.0,34.414284841428575
3164,2016_15,51809.0,123554.0,34.069999148571426
3168,2016_16,51809.0,121635.0,33.539999824285715
3172,2016_17,51809.0,119594.0,32.97857175714286
3176,2016_18,51809.0,117054.0,32.27857099
3180,2016_19,51809.0,114378.0,31.538571222857144
3184,2016_2,51809.0,19176.0,5.287142888571429
3188,2016_20,51809.0,112084.0,30.905714579999998
3192,2016_21,51809.0,110075.0,30.35142844142857
3196,2016_22,51809.0,107442.0,29.622857229999997
3200,2016_23,51809.0,105363.0,29.052856991428573
3204,2016_24,51809.0,102267.0,28.199999944285715
3208,2016_25,51809.0,99554.0,27.45142827714286
3212,2016_26,51809.0,96812.0,26.69428579857143
3216,2016_27,51809.0,93716.0,25.841428481428572
3220,2016_28,51809.0,90767.0,25.028571265714284
3224,2016_29,51809.0,87993.0,24.262857165714284
3228,2016_3,51809.0,30893.0,8.518571374285715
3232,2016_30,51809.0,84922.0,23.415714262857144
3236,2016_31,51809.0,81513.0,22.475714272857143
3240,2016_32,51809.0,78380.0,21.611428668571428
3244,2016_33,51809.0,75137.0,20.720000128571428
3248,2016_34,51809.0,71738.0,19.781428747142858
3252,2016_35,51809.0,68009.0,18.75285720857143
3256,2016_36,51809.0,64021.0,17.654285975714284
3260,2016_37,51809.0,60249.0,16.611428668571428
3264,2016_38,51809.0,56617.0,15.611428669999999
3268,2016_39,51809.0,53215.0,14.672857285714286
3272,2016_4,51809.0,54377.0,14.994285311428571
3276,2016_40,51809.0,50189.0,13.840000015714285
3280,2016_41,51809.0,47105.0,12.988571437142857
3284,2016_42,51809.0,43787.0,12.07428578
3288,2016_43,51809.0,40437.0,11.148571422857144
3292,2016_44,51809.0,37256.0,10.271428655714287
3296,2016_45,51809.0,34544.0,9.525714465714286
3300,2016_46,51809.0,33237.0,9.162857192857144
3304,2016_47,51809.0,34200.0,9.429999894285714
3308,2016_48,51809.0,36046.0,9.938571521428571
3312,2016_49,51809.0,40608.0,11.197142875714286
3316,2016_5,51809.0,73273.0,20.205714362857144
3320,2016_50,51809.0,46909.0,12.93571431142857
3324,2016_51,51809.0,52532.0,14.485714365714285
3328,2016_52,51809.0,48421.0,15.578333378333333
3332,2016_53,51809.0,7524.0,4.840000150000001
3336,2016_6,51809.0,90902.0,25.064285824285715
3340,2016_7,51809.0,105706.0,29.14857155857143
3344,2016_8,51809.0,111918.0,30.862856727142855
3348,2016_9,51809.0,115295.0,31.791428702857143
3352,2017_1,51809.0,61318.0,16.905714305714287
3356,2017_10,51809.0,76690.0,21.147142957142854
3360,2017_11,51809.0,77126.0,21.268571580000003
3364,2017_12,51809.0,77838.0,21.46142878
3368,2017_13,51809.0,77974.0,21.5
3372,2017_14,51809.0,79066.0,21.80142838714286
3376,2017_15,51809.0,79893.0,22.02857181
