,Ano_sem,val_cargaenergiamwmed
2992,2015_24,67642.31067445
2996,2015_25,67480.79212867
3000,2015_26,62697.12855001
3004,2015_27,63523.131788
3008,2015_28,64311.08127434
3012,2015_29,63101.739555910004
3016,2015_3,71753.64301379
3020,2015_30,63534.83152077
3024,2015_31,63104.22802643
3028,2015_32,63992.24350998
3032,2015_33,63463.93536758
3036,2015_34,64843.83835979
3040,2015_35,66921.1677333
3044,2015_36,66139.25669635
3048,2015_37,65946.77828326
3052,2015_38,66772.66354584
3056,2015_39,68212.35824741
3060,2015_4,71622.0665069
3064,2015_40,68440.11058141
3068,2015_41,68982.97029586
3072,2015_42,68098.15215663
3076,2015_43,70237.14067749
3080,2015_44,69681.0294325
3084,2015_45,69345.89545697
3088,2015_46,71523.15453543
3092,2015_47,72499.19192525
3096,2015_48,72671.75049268
3100,2015_49,73355.35621232
3104,2015_5,72158.66573801001
3108,2015_50,73177.85016967
3112,2015_51,71948.69246095
3116,2015_52,65792.42477872
3120,2015_53,38718.54771893
3124,2015_6,71451.51388703
3128,2015_7,71643.33681023
3132,2015_8,67068.36253503
3136,2015_9,69691.62456014
3140,2016_1,68186.97460444
3144,2016_10,73591.56375
3148,2016_11,72223.12612500999
3152,2016_12,71569.65166667
3156,2016_13,70837.23833333
3160,2016_14,65190.78320834
3164,2016_15,66249.11962499
3168,2016_16,68468.193375
3172,2016_17,72607.17941667
3176,2016_18,71616.99424999
3180,2016_19,70880.78639167
3184,2016_2,69679.16404029
3188,2016_20,70986.12866667
3192,2016_21,69094.08779166
3196,2016_22,69797.04895833001
3200,2016_23,72264.41429167
3204,2016_24,68496.51891667
3208,2016_25,65775.59341666
3212,2016_26,65277.807125
3216,2016_27,66487.64916667
3220,2016_28,68124.67775
3224,2016_29,68092.21645834
3228,2016_3,66597.02825
3232,2016_30,66247.72754166
3236,2016_31,66398.09382913
3240,2016_32,67696.14366668
3244,2016_33,69047.87508334
3248,2016_34,67144.7725
3252,2016_35,67240.81924999
3256,2016_36,66504.96620832
3260,2016_37,69169.95191667
3264,2016_38,71579.17675001
3268,2016_39,70708.09479167
3272,2016_4,66105.35266667
3276,2016_40,72203.20504167
3280,2016_41,69647.80571559
3284,2016_42,71877.74974999
3288,2016_43,72387.13712500001
3292,2016_44,70512.36345833
3296,2016_45,71761.8616625
3300,2016_46,69998.03641667
3304,2016_47,72239.28529166
3308,2016_48,73989.87208334
3312,2016_49,74430.94233334
3316,2016_5,67700.85970833
3320,2016_50,71653.90970833
3324,2016_51,68687.16091666
3328,2016_52,60270.59733333
3332,2016_53,26498.39034811
3336,2016_6,67554.01633332
3340,2016_7,70030.18305834
3344,2016_8,71917.71749999
3348,2016_9,73214.95383335
3352,2017_1,72490.51475
3356,2017_10,75983.35904166
3360,2017_11,74680.75416666
3364,2017_12,75854.92658333
3368,2017_13,74935.27954167
3372,2017_14,73065.75633333
3376,2017_15,71400.04970833
3380,2017_16,73604.92866665
3384,2017_17,73571.03233334
3388,2017_18,69546.231875
3392,2017_19,72593.37462501001
3396,2017_2,74363.53358333
3400,2017_20,74291.07470834
3404,2017_21,72093.67733333001
3408,2017_22,69617.13020833
3412,2017_23,70678.47270834
3416,2017_24,69583.93433333
3420,2017_25,67826.98966665
3424,2017_26,67308.77391666
3428,2017_27,65506.86133333
3432,2017_28,66298.71687501
3436,2017_29,66697.45066667
3440,2017_3,74250.04320833
3444,2017_30,65737.32504165
3448,2017_31,66666.13754167
3452,2017_32,68327.27687499
3456,2017_33,68045.0004125
3460,2017_34,68844.66520834
3464,2017_35,69265.43316665999
3468,2017_36,67299.88541667
3472,2017_37,67653.09025000001
3476,2017_38,67164.999875
3480,2017_39,69091.39829167
3484,2017_4,74088.36520834001
3488,2017_40,71429.07595834
3492,2017_41,70410.46689493
3496,2017_42,71625.72991666
3500,2017_43,72674.45695833
3504,2017_44,72359.758625
3508,2017_45,72505.48425000001
3512,2017_46,71118.74629167
3516,2017_47,73530.58420833
3520,2017_48,74332.13970834
3524,2017_49,76559.10887355
3528,2017_5,75199.23320832
3532,2017_50,74177.81424999
3536,2017_51,71627.49533334
3540,2017_52,79842.99191667
3544,2017_6,75139.56914925
3548,2017_7,73655.42220832
3552,2017_8,73623.31791666
3556,2017_9,70765.36258332
3560,2018_1,83094.36066666
3564,2018_10,75946.46862499
3568,2018_11,76491.204875
3572,2018_12,73581.85525001
3576,2018_13,70186.89804166
3580,2018_14,75749.42229167
3584,2018_15,72191.01845833
3588,2018_16,71354.08212499
3592,2018_17,72226.73683335
3596,2018_18,71229.35204168
