,Ano_sem,ena_bruta_regiao_mwmed,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_mwmed,ena_armazenavel_regiao_percentualmlt
2928,2015_1,26347.0,47.692500115,26261.0,47.53499985
2932,2015_10,40444.0,40.25142833142858,40350.0,40.15714155
2936,2015_11,33554.0,33.39285686857143,33420.0,33.25857135142857
2940,2015_12,35366.0,35.19714355714286,35218.0,35.04857090428571
2944,2015_13,45132.0,44.91571426285714,45023.0,44.805714197142855
2948,2015_14,52272.0,60.52142769857143,52156.0,60.382857187142854
2952,2015_15,57848.0,70.50142887571428,57654.0,70.26428549714286
2956,2015_16,46429.0,56.58428682714286,46314.0,56.44571358857143
2960,2015_17,41570.0,50.661428179999994,41420.0,50.480000087142855
2964,2015_18,33785.0,51.97857121,33621.0,51.717143469999996
2968,2015_19,33735.0,67.85714285857144,33572.0,67.52857208285714
2972,2015_2,38170.0,39.48285729571428,38043.0,39.351428441428574
2976,2015_20,31704.0,63.76857103571428,31573.0,63.50571441571429
2980,2015_21,27281.0,54.874285562857146,27132.0,54.57428687142857
2984,2015_22,26540.0,53.38428606142857,26400.0,53.09999956285714
2988,2015_23,21351.0,65.01428495,21193.0,64.53571374142857
2992,2015_24,18065.0,55.00999941142857,17891.0,54.47714233428571
2996,2015_25,17137.0,52.1842853,16963.0,51.65285709857143
3000,2015_26,16205.0,49.34571402428571,16011.0,48.75285720714286
3004,2015_27,14626.0,51.222857337142855,14494.0,50.752856661428574
3008,2015_28,14687.0,54.22142846285714,14502.0,53.53714316142857
3012,2015_29,13148.0,48.54142870285715,12976.0,47.90571376142857
3016,2015_3,26920.0,27.842857087142857,26789.0,27.708571298571428
3020,2015_30,14289.0,52.75285666571428,14096.0,52.041428704285714
3024,2015_31,13403.0,51.50571441714286,13192.0,50.69999967142858
3028,2015_32,12486.0,52.86142839714286,12346.0,52.26571437142858
3032,2015_33,12013.0,50.85714231285714,11850.0,50.168572018571425
3036,2015_34,12015.0,50.86285673,11857.0,50.19428580142857
3040,2015_35,11790.0,49.914285387142854,11673.0,49.41571371857143
3044,2015_36,10898.0,50.83142853,10730.0,50.04857090571428
3048,2015_37,8961.0,42.44142913857143,8804.0,41.69857079714286
3052,2015_38,9462.0,44.81428636857142,9286.0,43.97857175571429
3056,2015_39,9466.0,44.83285740428572,9299.0,44.04142870142857
3060,2015_4,18369.0,19.00000000142857,18223.0,18.85000011
3064,2015_40,10693.0,48.06857190714286,10505.0,47.22142901
3068,2015_41,8383.0,36.38428579,8171.0,35.461428232857145
3072,2015_42,6615.0,28.71000017571429,6410.0,27.82000051142857
3076,2015_43,5990.0,25.997142518571426,5798.0,25.16428593142857
3080,2015_44,5712.0,23.53857163,5516.0,22.735714367142858
3084,2015_45,4828.0,12.817142895714285,4634.0,12.302857127142858
3088,2015_46,6792.0,18.03285721142857,6602.0,17.527142932857142
3092,2015_47,8228.0,21.84428596714286,8016.0,21.28142847285714
3096,2015_48,9517.0,25.265714647142858,9346.0,24.81285722
3100,2015_49,15900.0,24.645714351428573,15740.0,24.39857156
3104,2015_5,13770.0,14.150000027142857,13677.0,14.052857125714285
3108,2015_50,24318.0,34.79285730714286,24170.0,34.57999992285714
3112,2015_51,22165.0,31.714285714285715,22019.0,31.50571414285714
3116,2015_52,23310.0,33.350000654285715,23147.0,33.117143358571425
3120,2015_53,14446.0,36.170000075000004,14353.0,35.93500042
3124,2015_6,16913.0,16.639999935714286,16824.0,16.55428573142857
3128,2015_7,21944.0,21.59285681571429,21905.0,21.552856991428573
3132,2015_8,32901.0,32.37285695714286,32740.0,32.214285167142855
3136,2015_9,52153.0,51.39142826571429,51888.0,51.131428854285716
3140,2016_1,25587.0,26.464285714285715,25394.0,26.26428576857143
3144,2016_10,33076.0,32.91857092714286,32891.0,32.73285675
