,Ano_sem,NORDESTE
796,2016_47,142.85
797,2016_48,101.99
798,2016_49,121.56
799,2016_5,111.65
800,2016_50,142.93
801,2016_51,113.62
802,2016_52,140.86
803,2016_53,352.86
804,2016_6,137.81
805,2016_7,243.41
806,2016_8,223.17
807,2016_9,240.34
808,2017_1,124.05
809,2017_10,241.65
810,2017_11,386.46
811,2017_12,365.35
812,2017_13,430.14
813,2017_14,356.68
814,2017_15,350.66
815,2017_16,331.01
816,2017_17,448.58
817,2017_18,463.69
818,2017_19,477.5
819,2017_2,135.09
820,2017_20,478.01
821,2017_21,157.33
822,2017_22,127.6
823,2017_23,123.25
824,2017_24,140.18
825,2017_25,178.85
826,2017_26,233.32
827,2017_27,253.45
828,2017_28,266.98
829,2017_29,269.76
830,2017_3,138.94
831,2017_30,514.66
832,2017_31,533.82
833,2017_32,521.83
834,2017_33,505.61
835,2017_34,449.04
836,2017_35,494.46
837,2017_36,533.82
838,2017_37,533.82
839,2017_38,533.82
840,2017_39,533.82
841,2017_4,171.33
842,2017_40,533.82
843,2017_41,533.82
844,2017_42,533.82
845,2017_43,533.82
846,2017_44,483.21
847,2017_45,481.66
848,2017_46,449.83
849,2017_47,208.53
850,2017_48,220.16
851,2017_49,214.51
852,2017_5,171.33
853,2017_50,274.98
854,2017_51,245.63
855,2017_52,182.49
856,2017_6,159.77
857,2017_7,148.93
858,2017_8,184.49
859,2017_9,185.06
860,2018_1,179.91
861,2018_10,236.02
862,2018_11,218.38
863,2018_12,228.54
864,2018_13,40.16
865,2018_14,106.83
866,2018_15,122.73
867,2018_16,135.38
868,2018_17,154.51
869,2018_18,154.51
870,2018_19,165.95
871,2018_2,162.06
872,2018_20,201.88
873,2018_21,380.73
874,2018_22,321.06
875,2018_23,463.52
876,2018_24,477.77
877,2018_25,505.18
878,2018_26,505.18
879,2018_27,505.18
880,2018_28,505.18
881,2018_29,505.18
882,2018_3,190.37
883,2018_30,505.18
884,2018_31,505.18
885,2018_32,505.18
886,2018_33,505.18
887,2018_34,505.18
888,2018_35,486.25
889,2018_36,496.28
890,2018_37,491.71
891,2018_38,441.87
892,2018_39,386.47
893,2018_4,176.34
894,2018_40,325.52
895,2018_41,270.28
896,2018_42,229.71
897,2018_43,142.4
898,2018_44,149.95
899,2018_45,120.77
900,2018_46,119.21
901,2018_47,100.72
902,2018_48,59.16
903,2018_49,66.41
904,2018_5,176.42
905,2018_50,79.16
906,2018_51,87.21
907,2018_52,53.86
908,2018_6,167.6
909,2018_7,184.27
910,2018_8,189.22
911,2018_9,223.21
912,2019_1,103.89
913,2019_10,160.22
914,2019_11,160.22
915,2019_12,160.22
916,2019_13,42.35
917,2019_14,42.35
918,2019_15,42.35
919,2019_16,42.35
920,2019_17,42.35
921,2019_18,42.35
922,2019_19,42.35
923,2019_2,80.44
924,2019_20,80.44
925,2019_21,42.35
926,2019_22,42.35
927,2019_23,42.35
928,2019_24,78.42
929,2019_25,124.92
930,2019_26,170.94
931,2019_27,177.6
932,2019_28,175.04
933,2019_29,186.18
934,2019_3,42.35
935,2019_30,174.61
936,2019_31,217.98
937,2019_32,217.98
938,2019_33,223.39
939,2019_34,198.37
940,2019_35,200.34
941,2019_36,210.71
942,2019_37,221.28
943,2019_38,231.12
944,2019_39,238.02
945,2019_4,137.55
946,2019_40,270.84
947,2019_41,273.52
948,2019_42,273.51
949,2019_43,301.65
950,2019_44,334.73
951,2019_45,308.2
952,2019_46,322.84
953,2019_47,317.33
954,2019_48,234.99
955,2019_49,217.57
956,2019_5,141.05
957,2019_50,226.59
958,2019_51,195.13
959,2019_52,290.33
960,2019_6,178.71
961,2019_7,164.36
962,2019_8,178.71
963,2019_9,164.36
964,2020_1,368.51
965,2020_10,84.67
966,2020_11,98.97
967,2020_12,39.68
968,2020_13,39.68
969,2020_14,39.68
970,2020_15,39.68
971,2020_16,39.68
972,2020_17,39.68
973,2020_18,39.68
974,2020_19,39.68
975,2020_2,268.32
976,2020_20,39.68
977,2020_21,39.68
978,2020_22,39.68
979,2020_23,39.68
980,2020_24,86.21
981,2020_25,89.07
982,2020_26,90.69
983,2020_27,83.69
984,2020_28,85.35
985,2020_29,89.9
986,2020_3,355.42
987,2020_30,80.93
988,2020_31,73.03
989,2020_32,76.71
990,2020_33,73.86
991,2020_34,56.82
992,2020_35,51.88
993,2020_36,55.23
994,2020_37,63.42
995,2020_38,68.71
996,2020_39,160.33
997,2020_4,332.28
998,2020_40,164.86
999,2020_41,170.66
1000,2020_42,219.01
1001,2020_43,185.11
1002,2020_44,150.6
1003,2020_45,196.76
1004,2020_46,276.71
1005,2020_47,196.29
1006,2020_48,559.75
1007,2020_49,200.33
1008,2020_5,190.96
1009,2020_50,264.24
1010,2020_51,197.79
1011,2020_52,220.89
1012,2020_6,150.67
1013,2020_7,144.93
1014,2020_8,125.8
1015,2020_9,58.6
1016,2021_1,306.11
1017,2021_10,85.41
1018,2021_11,83.98
1019,2021_12,88.19
1020,2021_13,50.03
1021,2021_14,66.47
1022,2021_15,133.06
1023,2021_16,109.19
1024,2021_17,149.74
1025,2021_18,151.85
1026,2021_19,207.93
1027,2021_2,214.19
1028,2021_20,221.99
1029,2021_21,250.52
1030,2021_22,271.74
1031,2021_23,282.85
1032,2021_24,293.7
1033,2021_25,583.88
1034,2021_26,583.88
1035,2021_27,583.88
1036,2021_28,583.88
1037,2021_29,583.88
1038,2021_3,178.41
1039,2021_30,583.88
1040,2021_31,583.88
1041,2021_32,583.88
1042,2021_33,583.88
1043,2021_34,583.88
1044,2021_35,583.88
1045,2021_36,583.88
1046,2021_37,583.88
1047,2021_38,518.89
1048,2021_39,450.72
1049,2021_4,146.43
1050,2021_40,209.43
1051,2021_41,177.38
1052,2021_42,161.22
1053,2021_43,101.07
1054,2021_44,107.09
1055,2021_45,74.01
1056,2021_46,94.09
1057,2021_47,50.79
1058,2021_48,59.15
1059,2021_49,82.26
1060,2021_5,170.42
1061,2021_50,66.32
1062,2021_51,64.59
1063,2021_53,291.83
1064,2021_6,173.51
1065,2021_7,184.05
1066,2021_8,63.42
1067,2021_9,60.03
1068,2022_1,56.22
1069,2022_10,55.7
1070,2022_11,55.7
1071,2022_12,55.7
1072,2022_13,55.7
1073,2022_14,55.7
1074,2022_15,55.7
1075,2022_16,55.7
1076,2022_17,55.7
1077,2022_18,55.7
1078,2022_19,55.7
1079,2022_2,55.7
1080,2022_20,55.7
1081,2022_21,55.7
1082,2022_22,55.76
1083,2022_23,55.7
1084,2022_24,55.7
1085,2022_25,55.7
1086,2022_26,57.16
1087,2022_27,59.0
1088,2022_28,68.76
1089,2022_29,71.35
1090,2022_3,55.7
1091,2022_30,110.9
1092,2022_31,91.03
1093,2022_32,69.36
1094,2022_33,56.26
1095,2022_34,59.93
1096,2022_35,55.7
1097,2022_36,55.7
1098,2022_37,55.7
1099,2022_38,55.7
1100,2022_39,55.7
1101,2022_4,55.7
1102,2022_40,55.7
1103,2022_41,55.7
1104,2022_42,55.7
1105,2022_43,55.7
1106,2022_44,55.7
1107,2022_45,55.7
1108,2022_46,55.7
1109,2022_47,55.7
1110,2022_48,55.7
1111,2022_49,55.7
1112,2022_5,55.7
1113,2022_50,55.7
1114,2022_51,55.7
1115,2022_52,64.525
1116,2022_6,55.7
1117,2022_7,55.7
1118,2022_8,55.7
1119,2022_9,55.7
1120,2023_1,69.04
1121,2023_10,69.04
1122,2023_11,69.04
1123,2023_12,69.04
1124,2023_13,69.04
1125,2023_14,69.04
1126,2023_15,69.04
1127,2023_16,69.04
1128,2023_17,69.04
1129,2023_18,69.04
1130,2023_19,69.04
1131,2023_2,69.04
1132,2023_20,69.04
1133,2023_21,69.04
1134,2023_22,69.04
1135,2023_23,69.04
1136,2023_24,69.04
1137,2023_25,69.04
1138,2023_26,69.04
1139,2023_27,69.04
1140,2023_28,69.04
1141,2023_29,69.04
1142,2023_3,69.04
1143,2023_30,69.04
1144,2023_31,69.04
1145,2023_32,69.04
1146,2023_33,69.04
1147,2023_34,69.04
1148,2023_35,69.04
1149,2023_36,69.04
1150,2023_37,69.04
1151,2023_38,117.59
1152,2023_39,71.6
1153,2023_4,69.04
1154,2023_40,69.04
1155,2023_41,69.04
1156,2023_42,87.51
1157,2023_43,73.72
1158,2023_44,69.04
1159,2023_45,122.46
1160,2023_46,81.46
1161,2023_47,69.04
1162,2023_48,73.04
1163,2023_49,69.04
1164,2023_5,69.04
1165,2023_50,87.42
1166,2023_51,69.04
1167,2023_52,63.35
1168,2023_6,69.04
1169,2023_7,69.04
1170,2023_8,69.04
1171,2023_9,69.04
1172,2024_1,61.07
1173,2024_10,61.07
1174,2024_11,61.07
1175,2024_12,61.07
1176,2024_13,61.07
1177,2024_14,61.07
1178,2024_15,61.07
1179,2024_16,61.07
1180,2024_17,61.07
1181,2024_18,61.07
1182,2024_19,61.07
1183,2024_2,61.07
1184,2024_20,61.07
1185,2024_21,61.07
1186,2024_22,61.07
1187,2024_23,61.07
1188,2024_24,61.07
1189,2024_25,71.39
1190,2024_26,108.64
1191,2024_27,94.39
1192,2024_28,76.49
1193,2024_29,71.6
1194,2024_3,61.38
1195,2024_30,72.07
1196,2024_31,96.51
1197,2024_4,61.07
1198,2024_5,61.07
1199,2024_6,61.07
1200,2024_7,61.07
1201,2024_8,61.6
1202,2024_9,61.07
